ticker,longName,zip,logo_url,close_price
MMM,3M Company,55144-1000,https://logo.clearbit.com/3m.com,181.49
AOS,A. O. Smith Corporation,53224-9508,https://logo.clearbit.com/aosmith.com,65.28
ABT,Abbott Laboratories,60064-6400,https://logo.clearbit.com/abbott.com,126.79
ABBV,AbbVie Inc.,60064-6400,https://logo.clearbit.com/abbvie.com,107.73
ABMD,"Abiomed, Inc.",01923,https://logo.clearbit.com/abiomed.com,355.0
ACN,Accenture plc,2,https://logo.clearbit.com/accenture.com,335.4
ATVI,"Activision Blizzard, Inc.",90405,https://logo.clearbit.com/activisionblizzard.com,79.56
ADM,Archer-Daniels-Midland Company,60601,https://logo.clearbit.com/adm.com,62.39
ADBE,Adobe Inc.,95110-2704,https://logo.clearbit.com/adobe.com,654.48
AAP,"Advance Auto Parts, Inc.",27604,https://logo.clearbit.com/advanceautoparts.com,205.8
AMD,"Advanced Micro Devices, Inc.",95054,https://logo.clearbit.com/amd.com,103.88
AES,The AES Corporation,22203,https://logo.clearbit.com/aes.com,24.6
AFL,Aflac Incorporated,31999,https://logo.clearbit.com/aflac.com,53.99
A,"Agilent Technologies, Inc.",95051,https://logo.clearbit.com/agilent.com,173.94
APD,"Air Products and Chemicals, Inc.",18195-1501,https://logo.clearbit.com/airproducts.com,261.83
AKAM,"Akamai Technologies, Inc.",02142,https://logo.clearbit.com/akamai.com,109.49
ALK,"Alaska Air Group, Inc.",98188,https://logo.clearbit.com/alaskaair.com,56.92
ALB,Albemarle Corporation,28209,https://logo.clearbit.com/albemarle.com,226.85
ARE,"Alexandria Real Estate Equities, Inc.",91101,https://logo.clearbit.com/are.com,193.87
ALGN,"Align Technology, Inc.",85281,https://logo.clearbit.com/aligntech.com,719.38
ALLE,Allegion plc,D02 VH94,https://logo.clearbit.com/allegion.com,138.44
LNT,Alliant Energy Corporation,53718,https://logo.clearbit.com/alliantenergy.com,57.83
ALL,The Allstate Corporation,60062-6127,https://logo.clearbit.com/allstate.com,131.03
GOOGL,Alphabet Inc.,94043,https://logo.clearbit.com/abc.xyz,2816.0
GOOG,Alphabet Inc.,94043,https://logo.clearbit.com/abc.xyz,2829.27
MO,"Altria Group, Inc.",23230,https://logo.clearbit.com/altria.com,48.61
AMZN,"Amazon.com, Inc.",98109-5210,https://logo.clearbit.com/amazon.com,3462.52
AMCR,Amcor plc,8050,https://logo.clearbit.com/amcor.com,11.85
AEE,Ameren Corporation,63103,https://logo.clearbit.com/ameren.com,83.6
AAL,American Airlines Group Inc.,76155,https://logo.clearbit.com/aa.com,19.73
AEP,"American Electric Power Company, Inc.",43215-2373,https://logo.clearbit.com/aep.com,84.1
AXP,American Express Company,10285,https://logo.clearbit.com/americanexpress.com,163.92
AIG,"American International Group, Inc.",10020,https://logo.clearbit.com/aig.com,53.81
AMT,American Tower Corporation (REIT),02116,https://logo.clearbit.com/americantower.com,293.75
AWK,"American Water Works Company, Inc.",08102-1658,https://logo.clearbit.com/amwater.com,178.04
AMP,"Ameriprise Financial, Inc.",55474,https://logo.clearbit.com/ameriprise.com,269.55
ABC,AmerisourceBergen Corporation,19428-1800,https://logo.clearbit.com/amerisourcebergen.com,123.47
AME,"AMETEK, Inc.",19312-1177,https://logo.clearbit.com/ametek.com,130.14
AMGN,Amgen Inc.,91320-1799,https://logo.clearbit.com/amgen.com,219.38
APH,Amphenol Corporation,06492,https://logo.clearbit.com/amphenol.com,75.72
ADI,"Analog Devices, Inc.",01887,https://logo.clearbit.com/analog.com,171.52
ANSS,"ANSYS, Inc.",15317,https://logo.clearbit.com/ansys.com,364.63
ANTM,"Anthem, Inc.",46204,https://logo.clearbit.com/antheminc.com,379.52
AON,Aon plc,D01 K0Y8,https://logo.clearbit.com/aon.com,289.23
APA,APA Corporation,77056-4000,https://logo.clearbit.com/apacorp.com,20.14
AAPL,Apple Inc.,95014,https://logo.clearbit.com/apple.com,146.06
AMAT,"Applied Materials, Inc.",95052-3299,https://logo.clearbit.com/appliedmaterials.com,140.8
APTV,Aptiv PLC,2,https://logo.clearbit.com/aptiv.com,146.43
ANET,"Arista Networks, Inc.",95054,https://logo.clearbit.com/arista.com,359.13
AJG,Arthur J. Gallagher & Co.,60008-4050,https://logo.clearbit.com/ajg.com,148.39
AIZ,"Assurant, Inc.",10006,https://logo.clearbit.com/assurant.com,161.44
T,AT&T Inc.,75202,https://logo.clearbit.com/att.com,27.53
ATO,Atmos Energy Corporation,75240,https://logo.clearbit.com/atmosenergy.com,89.09
ADSK,"Autodesk, Inc.",94903,https://logo.clearbit.com/autodesk.com,288.15
ADP,"Automatic Data Processing, Inc.",07068,https://logo.clearbit.com/adp.com,198.67
AZO,"AutoZone, Inc.",38103,https://logo.clearbit.com/autozone.com,1592.88
AVB,"AvalonBay Communities, Inc.",22203,https://logo.clearbit.com/avalonbay.com,219.89
AVY,Avery Dennison Corporation,91203,https://logo.clearbit.com/averydennison.com,214.68
BKR,Baker Hughes Company,77073-5101,https://logo.clearbit.com/bakerhughes.com,23.94
BLL,Ball Corporation,80021-2510,https://logo.clearbit.com/ball.com,92.36
BAC,Bank of America Corporation,28255,https://logo.clearbit.com/bankofamerica.com,40.5
BBWI,"Bath & Body Works, Inc.",43230,https://logo.clearbit.com/bbwinc.com,66.34
BAX,Baxter International Inc.,60015,https://logo.clearbit.com/baxter.com,83.61
BDX,"Becton, Dickinson and Company",07417-1880,https://logo.clearbit.com/bd.com,261.95
BBY,"Best Buy Co., Inc.",55423,https://logo.clearbit.com/investors.bestbuy.com,109.62
BIO,"Bio-Rad Laboratories, Inc.",94547,https://logo.clearbit.com/bio-rad.com,788.35
TECH,Bio-Techne Corporation,55413,https://logo.clearbit.com/bio-techne.com,534.35
BIIB,Biogen Inc.,02142,https://logo.clearbit.com/biogen.com,300.19
BLK,"BlackRock, Inc.",10055,https://logo.clearbit.com/blackrock.com,876.63
BK,The Bank of New York Mellon Corporation,10286,https://logo.clearbit.com/bnymellon.com,51.15
BA,The Boeing Company,60606-1596,https://logo.clearbit.com/boeing.com,213.24
BKNG,Booking Holdings Inc.,06854,https://logo.clearbit.com/bookingholdings.com,2325.37
BWA,BorgWarner Inc.,48326,https://logo.clearbit.com/borgwarner.com,42.92
BXP,"Boston Properties, Inc.",02199,https://logo.clearbit.com/bostonproperties.com,109.99
BSX,Boston Scientific Corporation,01752-1234,https://logo.clearbit.com/bostonscientific.com,44.37
BMY,Bristol-Myers Squibb Company,10016,https://logo.clearbit.com/bms.com,61.31
AVGO,Broadcom Inc.,95131-2313,https://logo.clearbit.com/broadcom.com,506.0
BR,"Broadridge Financial Solutions, Inc.",11042,https://logo.clearbit.com/broadridge.com,166.56
CHRW,"C.H. Robinson Worldwide, Inc.",55347,https://logo.clearbit.com/chrobinson.com,87.44
COG,Cabot Oil & Gas Corporation,77024,https://logo.clearbit.com/cabotog.com,19.41
CDNS,"Cadence Design Systems, Inc.",95134,https://logo.clearbit.com/cadence.com,163.63
CZR,"Caesars Entertainment, Inc.",89501,https://logo.clearbit.com/caesars.com,106.07
CPB,Campbell Soup Company,08103-1799,https://logo.clearbit.com/campbellsoupcompany.com,43.19
COF,Capital One Financial Corporation,22102,https://logo.clearbit.com/capitalone.com,159.57
CAH,"Cardinal Health, Inc.",43017,https://logo.clearbit.com/cardinalhealth.com,52.57
KMX,"CarMax, Inc.",23238,https://logo.clearbit.com/carmax.com,140.29
CCL,Carnival Corporation & plc,33178-2428,https://logo.clearbit.com/carnivalcorp.com,23.55
CARR,Carrier Global Corporation,33418,https://logo.clearbit.com/corporate.carrier.com,55.0
CTLT,"Catalent, Inc.",08873,https://logo.clearbit.com/catalent.com,136.15
CAT,Caterpillar Inc.,60015,https://logo.clearbit.com/caterpillar.com,199.75
CBOE,"Cboe Global Markets, Inc.",60605-1023,https://logo.clearbit.com/cboe.com,123.61
CBRE,"CBRE Group, Inc.",75201,https://logo.clearbit.com/cbre.com,95.78
CDW,CDW Corporation,60069,https://logo.clearbit.com/cdw.com,191.14
CE,Celanese Corporation,75039-5421,https://logo.clearbit.com/celanese.com,148.91
CNC,Centene Corporation,63105,https://logo.clearbit.com/centene.com,64.64
CNP,"CenterPoint Energy, Inc.",77002,https://logo.clearbit.com/centerpointenergy.com,24.43
CERN,Cerner Corporation,64117-2551,https://logo.clearbit.com/cerner.com,75.04
CF,"CF Industries Holdings, Inc.",60015,https://logo.clearbit.com/cfindustries.com,49.1
CRL,"Charles River Laboratories International, Inc.",01887,https://logo.clearbit.com/criver.com,440.45
SCHW,The Charles Schwab Corporation,76262,https://logo.clearbit.com/schwab.com,70.43
CHTR,"Charter Communications, Inc.",06901,https://logo.clearbit.com/corporate.charter.com,763.48
CVX,Chevron Corporation,94583-2324,https://logo.clearbit.com/chevron.com,96.76
CMG,"Chipotle Mexican Grill, Inc.",92660,https://logo.clearbit.com/chipotle.com,1909.02
CB,Chubb Limited,8001,https://logo.clearbit.com/chubb.com,180.55
CHD,"Church & Dwight Co., Inc.",08628,https://logo.clearbit.com/churchdwight.com,83.59
CI,Cigna Corporation,06002,https://logo.clearbit.com/cigna.com,205.62
CINF,Cincinnati Financial Corporation,45014-5141,https://logo.clearbit.com/cinfin.com,116.45
CTAS,Cintas Corporation,45262-5737,https://logo.clearbit.com/cintas.com,392.86
CSCO,"Cisco Systems, Inc.",95134,https://logo.clearbit.com/cisco.com,56.85
C,Citigroup Inc.,10013,https://logo.clearbit.com/citigroup.com,69.96
CFG,"Citizens Financial Group, Inc.",02903,https://logo.clearbit.com/citizensbank.com,43.68
CTXS,"Citrix Systems, Inc.",33309,https://logo.clearbit.com/citrix.com,111.57
CLX,The Clorox Company,94612-1888,https://logo.clearbit.com/thecloroxcompany.com,166.09
CME,CME Group Inc.,60606,https://logo.clearbit.com/cmegroup.com,188.65
CMS,CMS Energy Corporation,49201,https://logo.clearbit.com/cmsenergy.com,61.66
KO,The Coca-Cola Company,30313,https://logo.clearbit.com/coca-colacompany.com,54.44
CTSH,Cognizant Technology Solutions Corporation,07666,https://logo.clearbit.com/cognizant.com,75.48
CL,Colgate-Palmolive Company,10022-7499,https://logo.clearbit.com/colgatepalmolive.com,76.23
CMCSA,Comcast Corporation,19103-2838,https://logo.clearbit.com/corporate.comcast.com,57.11
CMA,Comerica Incorporated,75201,https://logo.clearbit.com/comerica.com,74.07
CAG,"Conagra Brands, Inc.",60654,https://logo.clearbit.com/conagrabrands.com,33.47
COP,ConocoPhillips,77079-2703,https://logo.clearbit.com/conocophillips.com,58.92
ED,"Consolidated Edison, Inc.",10003,https://logo.clearbit.com/conedison.com,73.07
STZ,"Constellation Brands, Inc.",14564,https://logo.clearbit.com/cbrands.com,214.85
CPRT,"Copart, Inc.",75254,https://logo.clearbit.com/copart.com,143.95
GLW,Corning Incorporated,14831,https://logo.clearbit.com/corning.com,38.39
CTVA,"Corteva, Inc.",19805-0735,https://logo.clearbit.com/corteva.com,41.87
COST,Costco Wholesale Corporation,98027,https://logo.clearbit.com/costco.com,459.51
CCI,Crown Castle International Corp. (REIT),77057-2261,https://logo.clearbit.com/crowncastle.com,188.54
CSX,CSX Corporation,32202,https://logo.clearbit.com/csx.com,30.31
CMI,Cummins Inc.,47202-3005,https://logo.clearbit.com/cummins.com,227.69
CVS,CVS Health Corporation,02895,https://logo.clearbit.com/cvshealth.com,85.51
DHI,"D.R. Horton, Inc.",76011,https://logo.clearbit.com/drhorton.com,90.8
DHR,Danaher Corporation,20037-1701,https://logo.clearbit.com/danaher.com,324.53
DRI,"Darden Restaurants, Inc.",32837,https://logo.clearbit.com/darden.com,149.43
DVA,DaVita Inc.,80202,https://logo.clearbit.com/davita.com,121.55
DE,Deere & Company,61265,https://logo.clearbit.com/deere.com,349.09
DAL,"Delta Air Lines, Inc.",30320-6001,https://logo.clearbit.com/delta.com,40.11
XRAY,DENTSPLY SIRONA Inc.,28277-3607,https://logo.clearbit.com/dentsplysirona.com,61.23
DVN,Devon Energy Corporation,73102-5015,https://logo.clearbit.com/devonenergy.com,29.79
DXCM,"DexCom, Inc.",92121,https://logo.clearbit.com/dexcom.com,563.14
FANG,"Diamondback Energy, Inc.",79701,https://logo.clearbit.com/diamondbackenergy.com,82.62
DLR,"Digital Realty Trust, Inc.",94111,https://logo.clearbit.com/digitalrealty.com,156.8
DFS,Discover Financial Services,60015,https://logo.clearbit.com/discover.com,123.64
DISCA,"Discovery, Inc.",20910,https://logo.clearbit.com/corporate.discovery.com,26.88
DISCK,"Discovery, Inc.",20910,https://logo.clearbit.com/corporate.discovery.com,25.98
DISH,DISH Network Corporation,80112,https://logo.clearbit.com/dish.com,42.48
DG,Dollar General Corporation,37072,https://logo.clearbit.com/dollargeneral.com,222.11
DLTR,"Dollar Tree, Inc.",23320,https://logo.clearbit.com/dollartree.com,89.31
D,"Dominion Energy, Inc.",23219,https://logo.clearbit.com/dominionenergy.com,74.12
DPZ,"Domino's Pizza, Inc.",48105,https://logo.clearbit.com/dominos.com,503.54
DOV,Dover Corporation,60515,https://logo.clearbit.com/dovercorporation.com,162.64
DOW,Dow Inc.,48674,https://logo.clearbit.com/dow.com,57.75
DTE,DTE Energy Company,48226-1279,https://logo.clearbit.com/newlook.dteenergy.com,114.0
DUK,Duke Energy Corporation,28202-1803,https://logo.clearbit.com/duke-energy.com,99.67
DRE,Duke Realty Corporation,46240,https://logo.clearbit.com/dukerealty.com,49.43
DD,"DuPont de Nemours, Inc.",19805,https://logo.clearbit.com/dupont.com,68.91
DXC,DXC Technology Company,22102,https://logo.clearbit.com/dxc.technology,35.96
EMN,Eastman Chemical Company,37662,https://logo.clearbit.com/eastman.com,103.09
ETN,Eaton Corporation plc,4,https://logo.clearbit.com/eaton.com,157.53
EBAY,eBay Inc.,95125,https://logo.clearbit.com/ebayinc.com,74.11
ECL,Ecolab Inc.,55102-2233,https://logo.clearbit.com/ecolab.com,218.34
EIX,Edison International,91770,https://logo.clearbit.com/edison.com,57.75
EW,Edwards Lifesciences Corporation,92614,https://logo.clearbit.com/edwards.com,119.42
EA,Electronic Arts Inc.,94065,https://logo.clearbit.com/ea.com,133.88
LLY,Eli Lilly and Company,46285,https://logo.clearbit.com/lilly.com,230.1
EMR,Emerson Electric Co.,63136,https://logo.clearbit.com/emerson.com,96.46
ENPH,"Enphase Energy, Inc.",94538,https://logo.clearbit.com/enphase.com,160.89
ETR,Entergy Corporation,70113,https://logo.clearbit.com/entergy.com,111.04
EOG,"EOG Resources, Inc.",77002,https://logo.clearbit.com/eogresources.com,74.25
EFX,Equifax Inc.,30309,https://logo.clearbit.com/equifax.com,268.49
EQIX,"Equinix, Inc. (REIT)",94065,https://logo.clearbit.com/equinix.com,872.58
EQR,Equity Residential,60606,https://logo.clearbit.com/equityapartments.com,80.26
ESS,"Essex Property Trust, Inc.",94403,https://logo.clearbit.com/essexapartmenthomes.com,322.53
EL,The Estée Lauder Companies Inc.,10153,https://logo.clearbit.com/elcompanies.com,319.88
ETSY,"Etsy, Inc.",11201,https://logo.clearbit.com/etsy.com,226.98
RE,"Everest Re Group, Ltd.",HM 19,https://logo.clearbit.com/everestre.com,255.86
EVRG,"Evergy, Inc.",64105,https://logo.clearbit.com/evergyinc.com,64.2
ES,Eversource Energy,01104,https://logo.clearbit.com/eversource.com,83.3
EXC,Exelon Corporation,60680-5379,https://logo.clearbit.com/exeloncorp.com,49.86
EXPE,"Expedia Group, Inc.",98119,https://logo.clearbit.com/expediagroup.com,152.28
EXPD,"Expeditors International of Washington, Inc.",98104,https://logo.clearbit.com/expeditors.com,123.74
EXR,Extra Space Storage Inc.,84121,https://logo.clearbit.com/extraspace.com,180.11
XOM,Exxon Mobil Corporation,75039-2298,https://logo.clearbit.com/corporate.exxonmobil.com,55.16
FFIV,"F5 Networks, Inc.",98104,https://logo.clearbit.com/f5.com,204.58
FB,"Facebook, Inc.",94025,https://logo.clearbit.com/investor.fb.com,364.72
FAST,Fastenal Company,55987-1500,https://logo.clearbit.com/fastenal.com,52.96
FRT,Federal Realty Investment Trust,20852,https://logo.clearbit.com/federalrealty.com,119.3
FDX,FedEx Corporation,38120,https://logo.clearbit.com/fedex.com,255.22
FIS,"Fidelity National Information Services, Inc.",32204,https://logo.clearbit.com/fisglobal.com,123.73
FITB,Fifth Third Bancorp,45263,https://logo.clearbit.com/53.com,40.12
FRC,First Republic Bank,94111,https://logo.clearbit.com/firstrepublic.com,200.04
FE,FirstEnergy Corp.,44308,https://logo.clearbit.com/firstenergycorp.com,36.73
FISV,"Fiserv, Inc.",53045,https://logo.clearbit.com/fiserv.com,108.62
FLT,"FLEETCOR Technologies, Inc.",30305,https://logo.clearbit.com/fleetcor.com,258.24
FMC,FMC Corporation,19104,https://logo.clearbit.com/fmc.com,95.19
F,Ford Motor Company,48126-1899,https://logo.clearbit.com/ford.com,13.55
FTNT,"Fortinet, Inc.",94086,https://logo.clearbit.com/fortinet.com,299.49
FTV,Fortive Corporation,98203,https://logo.clearbit.com/fortive.com,72.74
FBHS,"Fortune Brands Home & Security, Inc.",60015-5611,https://logo.clearbit.com/fbhs.com,94.75
FOXA,Fox Corporation,10036,https://logo.clearbit.com/foxcorporation.com,37.71
FOX,Fox Corporation,10036,https://logo.clearbit.com/foxcorporation.com,35.1
BEN,"Franklin Resources, Inc.",94403,https://logo.clearbit.com/franklinresources.com,31.33
FCX,Freeport-McMoRan Inc.,85004-2189,https://logo.clearbit.com/fcx.com,33.05
GPS,"The Gap, Inc.",94105,https://logo.clearbit.com/gapinc.com,24.35
